"Outcome","Explanatory_variable","Group","n","Mean (SD)","95% CI"
"Public support for restoration","Social proximity to forest ownership","Don`t know",115,"3.11 (0.77)","2.97 to 3.25"
"Public support for restoration","Travel time to forest","Under 10 minutes",468,"3.26 (0.83)","3.18 to 3.33"
"Public support for restoration","Travel time to forest","10–30 minutes",505,"3.29 (0.76)","3.23 to 3.36"
"Public support for restoration","Travel time to forest","More than 30 minutes",103,"3.47 (0.75)","3.32 to 3.62"
"Perceived restoration implementation","Educational attainment","School-level or other education",90,"3.36 (0.74)","3.21 to 3.52"
"Perceived restoration implementation","Educational attainment","Professional/vocational training",477,"3.35 (0.71)","3.29 to 3.41"
"Perceived restoration implementation","Educational attainment","University",291,"3.33 (0.73)","3.24 to 3.41"
"Perceived restoration implementation","Forest- or environment-related organisation membership","Not a member",713,"3.33 (0.73)","3.27 to 3.38"
"Perceived restoration implementation","Forest- or environment-related organisation membership","Member",145,"3.42 (0.68)","3.31 to 3.53"
"Perceived restoration implementation","Forest- or environment-related profession","No related profession",767,"3.33 (0.73)","3.28 to 3.38"
"Perceived restoration implementation","Forest- or environment-related profession","Related profession",91,"3.48 (0.66)","3.34 to 3.62"
"Perceived restoration implementation","Forest ownership","Yes",67,"3.32 (0.81)","3.13 to 3.52"
"Perceived restoration implementation","Forest ownership","No",791,"3.35 (0.71)","3.30 to 3.40"
"Perceived restoration implementation","Frequency of forest visits","Less than monthly",178,"3.24 (0.71)","3.13 to 3.34"
"Perceived restoration implementation","Frequency of forest visits","Monthly",338,"3.34 (0.70)","3.26 to 3.41"
"Perceived restoration implementation","Frequency of forest visits","Weekly or more often",342,"3.41 (0.74)","3.33 to 3.49"
"Perceived restoration implementation","Gender","Female",400,"3.31 (0.71)","3.24 to 3.38"
"Perceived restoration implementation","Gender","Male",458,"3.37 (0.73)","3.30 to 3.44"
"Perceived restoration implementation","Awareness of local restoration programmes","Yes",268,"3.50 (0.67)","3.42 to 3.59"
"Perceived restoration implementation","Awareness of local restoration programmes","No",590,"3.27 (0.73)","3.21 to 3.33"
"Perceived restoration implementation","Social proximity to forest ownership","Yes",215,"3.40 (0.72)","3.30 to 3.49"
"Perceived restoration implementation","Social proximity to forest ownership","No",555,"3.35 (0.72)","3.29 to 3.41"
"Perceived restoration implementation","Social proximity to forest ownership","Don`t know",88,"3.19 (0.70)","3.04 to 3.34"
"Perceived restoration implementation","Travel time to forest","Under 10 minutes",369,"3.35 (0.73)","3.27 to 3.42"
"Perceived restoration implementation","Travel time to forest","10–30 minutes",399,"3.31 (0.73)","3.24 to 3.38"
"Perceived restoration implementation","Travel time to forest","More than 30 minutes",90,"3.47 (0.64)","3.34 to 3.60"
