"Outcome","Valid_n","Mean (SD)","Median","Minimum","Maximum","Skewness","Kurtosis"
"Perceived importance of ecosystem services",1087,"8.23 (1.41)",8.375,0.625,10,-1.035,1.359
"Expected restoration outcomes",873,"3.86 (0.63)",3.875,1.5,5,-0.424,0.232
"Public support for restoration",1076,"3.29 (0.79)",3.333,1,5,-0.395,0.451
"Perceived restoration implementation",858,"3.34 (0.72)",3.333,1,5,-0.084,0.028
