"Outcome","Explanatory_variable","Group","n","Mean (SD)","95% CI","Mean","SD","SE","CI_lower","CI_upper"
"Expected restoration outcomes","Frequency of forest visits","Weekly or more often",341,"3.89 (0.65)","3.83 to 3.96",3.8943400156376695,0.6469339537022932,0.03503343775393571,3.8254304440283287,3.9632495872470104
"Expected restoration outcomes","Gender","Female",415,"3.88 (0.67)","3.81 to 3.94",3.875082143425517,0.6718141328169859,0.03297805875370752,3.8102568233681424,3.939907463482892
"Expected restoration outcomes","Gender","Male",458,"3.85 (0.60)","3.80 to 3.91",3.851061820275794,0.5991980542549452,0.027998686347182982,3.7960396840659927,3.9060839564855954
"Expected restoration outcomes","Awareness of local restoration programmes","Yes",264,"3.87 (0.64)","3.80 to 3.95",3.87495964157896,0.6446347394697383,0.03967452560920189,3.7968395098266767,3.953079773331243
"Expected restoration outcomes","Awareness of local restoration programmes","No",609,"3.86 (0.63)","3.81 to 3.91",3.8570707025140525,0.63051367117417,0.0255497033082986,3.806894319984682,3.907247085043423
"Expected restoration outcomes","Social proximity to forest ownership","Yes",216,"3.84 (0.66)","3.75 to 3.93",3.838199159379715,0.6641124825923547,0.045187130949006796,3.749132652719628,3.927265666039802
"Expected restoration outcomes","Social proximity to forest ownership","No",564,"3.88 (0.63)","3.83 to 3.93",3.879115073264009,0.6264384702745892,0.02637781805858584,3.8273041183646725,3.930926028163346
"Expected restoration outcomes","Social proximity to forest ownership","Don`t know",93,"3.82 (0.62)","3.69 to 3.94",3.8179944458170265,0.6153022696954603,0.06380387313321847,3.6912744464186553,3.9447144452153977
"Expected restoration outcomes","Travel time to forest","Under 10 minutes",376,"3.89 (0.64)","3.82 to 3.95",3.8857370245003224,0.6416796156681795,0.03309209944456686,3.820667693120187,3.950806355880458
"Expected restoration outcomes","Travel time to forest","10–30 minutes",407,"3.82 (0.62)","3.76 to 3.88",3.8213394202030564,0.6177526881481454,0.030620863907199657,3.761144185569326,3.881534654836787
"Expected restoration outcomes","Travel time to forest","More than 30 minutes",90,"3.95 (0.67)","3.81 to 4.09",3.951368199701533,0.6713295443020326,0.0707643473519112,3.810760948828822,4.091975450574244
"Public support for restoration","Educational attainment","School-level or other education",115,"3.31 (0.77)","3.17 to 3.45",3.310144927536232,0.7710297146783818,0.07189889162337483,3.1677137769973256,3.4525760780751384
"Public support for restoration","Educational attainment","Professional/vocational training",603,"3.25 (0.78)","3.19 to 3.31",3.248203427307905,0.7792730689237528,0.03173445261074921,3.1858797412262345,3.310527113389575
"Public support for restoration","Educational attainment","University",358,"3.37 (0.82)","3.28 to 3.45",3.3677839851024207,0.822606209889961,0.0434760891244525,3.2822825515864866,3.453285418618355
"Public support for restoration","Forest- or environment-related organisation membership","Not a member",923,"3.23 (0.79)","3.18 to 3.28",3.2262549656915853,0.7916931184059531,0.026058896408887408,3.1751133320882516,3.277396599294919
"Public support for restoration","Forest- or environment-related organisation membership","Member",153,"3.71 (0.68)","3.60 to 3.82",3.706971677559913,0.6783585882057972,0.05484204139641915,3.5986205893840144,3.8153227657358113
"Public support for restoration","Forest- or environment-related profession","No related profession",982,"3.27 (0.80)","3.22 to 3.32",3.2724032586558045,0.7993895022193411,0.02550954408387366,3.2223437084812403,3.3224628088303687
"Public support for restoration","Forest- or environment-related profession","Related profession",94,"3.53 (0.70)","3.38 to 3.67",3.526595744680851,0.7012973093224729,0.07233329447793235,3.3829561572689624,3.67023533209274
"Public support for restoration","Forest ownership","Yes",72,"3.28 (0.92)","3.06 to 3.49",3.275462962962963,0.9150796001798289,0.10784316510210529,3.060429799140139,3.4904961267857866
"Public support for restoration","Forest ownership","No",1004,"3.30 (0.79)","3.25 to 3.34",3.2959827357237717,0.7853866495904467,0.024786582874461276,3.247343231761391,3.3446222396861525
"Public support for restoration","Frequency of forest visits","Less than monthly",248,"2.97 (0.83)","2.86 to 3.07",2.967741935483871,0.8297974700884542,0.05269219204283523,2.8639586165533526,3.0715252544143894
"Public support for restoration","Frequency of forest visits","Monthly",429,"3.26 (0.72)","3.19 to 3.33",3.261072261072261,0.7167407700656772,0.034604570466095705,3.1930562125419613,3.329088309602561
"Public support for restoration","Frequency of forest visits","Weekly or more often",399,"3.53 (0.77)","3.46 to 3.61",3.5338345864661656,0.7739547079346528,0.03874619845316395,3.457661795033907,3.610007377898424
"Public support for restoration","Gender","Female",541,"3.30 (0.78)","3.24 to 3.37",3.3016019716574245,0.7823736575610722,0.03363687077998884,3.235526820281858,3.367677123032991
"Public support for restoration","Gender","Male",535,"3.29 (0.81)","3.22 to 3.36",3.2875389408099687,0.8067743162929785,0.03487989532667788,3.219020303972425,3.3560575776475123
"Public support for restoration","Awareness of local restoration programmes","Yes",285,"3.48 (0.73)","3.40 to 3.57",3.483625730994152,0.7332672507308821,0.04343500330679329,3.3981303484870624,3.5691211135012413
"Public support for restoration","Awareness of local restoration programmes","No",791,"3.23 (0.80)","3.17 to 3.28",3.2265065318162662,0.8047422923926884,0.028613341887376468,3.1703393603987955,3.282673703233737
"Public support for restoration","Social proximity to forest ownership","Yes",243,"3.40 (0.78)","3.31 to 3.50",3.4039780521262,0.7800706894301537,0.05004155805882624,3.3054054337262073,3.502550670526193
"Public support for restoration","Social proximity to forest ownership","No",718,"3.29 (0.80)","3.23 to 3.35",3.2866759517177346,0.798474331611935,0.02979879739593376,3.228172625718079,3.3451792777173903
"Public support for restoration","Social proximity to forest ownership","Don`t know",115,"3.11 (0.77)","2.97 to 3.25",3.1130434782608694,0.7668026278142785,0.07150471374081226,2.971393191071352,3.2546937654503867
"Public support for restoration","Travel time to forest","Under 10 minutes",468,"3.26 (0.83)","3.18 to 3.33",3.2560541310541313,0.8324543000716953,0.038480213633192095,3.180438327068683,3.3316699350395798
"Public support for restoration","Travel time to forest","10–30 minutes",505,"3.29 (0.76)","3.23 to 3.36",3.2943894389438944,0.7620442273738324,0.03391052304544134,3.227766044590988,3.3610128332968006
"Public support for restoration","Travel time to forest","More than 30 minutes",103,"3.47 (0.75)","3.32 to 3.62",3.470873786407767,0.7538670041518017,0.0742807231032773,3.3235383243297942,3.6182092484857398
"Perceived restoration implementation","Educational attainment","School-level or other education",90,"3.36 (0.74)","3.21 to 3.52",3.362932037098704,0.7386726834443149,0.07786293750108621,3.2082200388030566,3.517644035394351
"Perceived restoration implementation","Educational attainment","Professional/vocational training",477,"3.35 (0.71)","3.29 to 3.41",3.3492883194141054,0.7127581041792054,0.03263495171635136,3.2851619372311287,3.413414701597082
"Perceived restoration implementation","Educational attainment","University",291,"3.33 (0.73)","3.24 to 3.41",3.328731558628466,0.731028561102155,0.04285365318815593,3.2443879456434512,3.413075171613481
"Perceived restoration implementation","Forest- or environment-related organisation membership","Not a member",713,"3.33 (0.73)","3.27 to 3.38",3.327775228511554,0.7276124446288585,0.027249300197630142,3.27427663925956,3.381273817763548
"Perceived restoration implementation","Forest- or environment-related organisation membership","Member",145,"3.42 (0.68)","3.31 to 3.53",3.4222866022866025,0.6843900568434471,0.05683550067769244,3.309946968793087,3.534626235780118
"Perceived restoration implementation","Forest- or environment-related profession","No related profession",767,"3.33 (0.73)","3.28 to 3.38",3.327684675891977,0.726717687388799,0.02624025484132807,3.2761733300686227,3.3791960217153316
"Perceived restoration implementation","Forest- or environment-related profession","Related profession",91,"3.48 (0.66)","3.34 to 3.62",3.4791335038587787,0.6588429974250422,0.06906551239810896,3.341922808736795,3.6163441989807623
"Perceived restoration implementation","Forest ownership","Yes",67,"3.32 (0.81)","3.13 to 3.52",3.3245713656161415,0.8076826154844721,0.09867413634998527,3.127562095908912,3.521580635323371
"Perceived restoration implementation","Forest ownership","No",791,"3.35 (0.71)","3.30 to 3.40",3.345371698816705,0.7136902492482453,0.025375903934053645,3.295559525469485,3.395183872163925
"Perceived restoration implementation","Frequency of forest visits","Less than monthly",178,"3.24 (0.71)","3.13 to 3.34",3.2385286685848484,0.7122344920338454,0.05338423217752375,3.133177171142559,3.343880166027138
"Perceived restoration implementation","Frequency of forest visits","Monthly",338,"3.34 (0.70)","3.26 to 3.41",3.335285900818445,0.6989839796848477,0.038019716305839675,3.2605000434697606,3.4100717581671294
"Perceived restoration implementation","Frequency of forest visits","Weekly or more often",342,"3.41 (0.74)","3.33 to 3.49",3.406872975951923,0.7418660469713876,0.040115521476119846,3.327967946374048,3.485778005529798
"Perceived restoration implementation","Gender","Female",400,"3.31 (0.71)","3.24 to 3.38",3.312249771062271,0.7071410509431866,0.03535705254715933,3.242740376356502,3.38175916576804
"Perceived restoration implementation","Gender","Male",458,"3.37 (0.73)","3.30 to 3.44",3.3712563031340324,0.7325036033143526,0.03422764558686923,3.3039932124922458,3.438519393775819
"Perceived restoration implementation","Awareness of local restoration programmes","Yes",268,"3.50 (0.67)","3.42 to 3.59",3.504558024893846,0.6735631752051747,0.04114441942684243,3.4235492456070546,3.5855668041806372
"Perceived restoration implementation","Awareness of local restoration programmes","No",590,"3.27 (0.73)","3.21 to 3.33",3.2707012620148213,0.7304419668931366,0.030071819879170566,3.2116402150466805,3.329762308982962
"Perceived restoration implementation","Social proximity to forest ownership","Yes",215,"3.40 (0.72)","3.30 to 3.49",3.395041625041625,0.7160081532647514,0.04883135075412677,3.2987895998433094,3.4912936502399408
"Perceived restoration implementation","Social proximity to forest ownership","No",555,"3.35 (0.72)","3.29 to 3.41",3.3484753684753685,0.7247357563233573,0.030763319579004793,3.2880483557482707,3.4089023812024664
"Perceived restoration implementation","Social proximity to forest ownership","Don`t know",88,"3.19 (0.70)","3.04 to 3.34",3.1886081405967768,0.6954729341586706,0.07413766388428343,3.041251505882708,3.3359647753108455
"Perceived restoration implementation","Travel time to forest","Under 10 minutes",369,"3.35 (0.73)","3.27 to 3.42",3.348026649652666,0.7276231674665794,0.0378785491001863,3.273541086351086,3.4225122129542456
"Perceived restoration implementation","Travel time to forest","10–30 minutes",399,"3.31 (0.73)","3.24 to 3.38",3.3113545950012115,0.7304767771741365,0.03656957943875759,3.239460911012546,3.383248278989877
"Perceived restoration implementation","Travel time to forest","More than 30 minutes",90,"3.47 (0.64)","3.34 to 3.60",3.4698108681442017,0.6396284732792689,0.06742276106195463,3.3358432780521965,3.603778458236207
